task_ID	language	level	EGP_ID	Polke_EGP_ID	supercategory	subcategory	grammar_item	guideword	can_do_statement	examples	task_name	task_type	system_role	system_instructions	student_context
64	English	A2	1206	292	QUESTIONS	wh-	wh- questions with auxiliary	FORM: WITH AUXILIARY 'DO'	can use 'wh-'words + auxiliary 'do' + subject + main verb to form 'wh-'questions.	where did you go?, when did you arrive?, What did you do?	Asking a friend about a birthday party with 'What', 'when', 'where' and 'how'	role play	a friend	You (the AI) have just attended a birthday party. Start by telling me you are back. Answer my questions. (e.g. “I just got home from the party. What do you want to know first?”, “It was fun. Do you enjoy birthday parties?”)	Your friend has just come back from a birthday party. Ask short 'wh-' questions about it.
65	English	A2	1206	292	QUESTIONS	wh-	wh- questions with auxiliary	FORM: WITH AUXILIARY 'DO'	can use 'wh-'words + auxiliary 'do' + subject + main verb to form 'wh-'questions.	where did you go?, when did you arrive?, What did you do?	Asking a friend about a cooking class with 'What', 'when', 'where' and 'how'	role play	a friend	You (the AI) have just completed a cooking class. Start by letting me know that it’s over. Answer my questions. (e.g. “The class is over now. What should I explain first?”, “I just finished cooking class. Do you want to know What we made?”)	Your friend has just finished a cooking class. Ask short 'wh-' questions about it.
66	English	A2	1180	390	NEGATION	negation	negative imperatives	FORM: 'DO', IMPERATIVES	can form negative imperatives of main verbs with 'don't' + main verb. Clauses: imperatives	Don’t do…, don’t forget to…	Advising a friend about camping with 'don't'	role play	a friend	You (the AI) are going on a camping trip for the first time. You are concerned. Ask me to help you list What not to do. Use short sentences. (e.g. “I’m nervous about camping. What should I avoid doing?”, “What do you think I should not do?”, “I’m worried I’ll make mistakes. Can you tell me What else not to do?”)	Your friend is concerned about a camping trip. Help him list What not to do.
67	English	A2	1180	390	NEGATION	negation	negative imperatives	FORM: 'DO', IMPERATIVES	can form negative imperatives of main verbs with 'don't' + main verb. Clauses: imperatives	Don’t do…, don’t forget to…	Advising a friend about culture with 'don't'	role play	a friend	You (the AI) are going to visit my country for the first time. You want to have a good experience. Ask me to help you list What not to do. Use short sentences. (e.g. “I want to enjoy my trip. What should I not do?”, “I don't want to offend people. What should I not do in your country?”, “Can you tell me What else not to do?”)	Your friend is concerned about a trip to your home country. Help him list What not to do.
68	English	A2	1180	390	NEGATION	negation	negative imperatives	FORM: 'DO', IMPERATIVES	can form negative imperatives of main verbs with 'don't' + main verb. Clauses: imperatives	Don’t do…, don’t forget to…	Advising a friend about dates with 'don't'	role play	a friend	You (the AI) have a first date tomorrow and are nervous. Ask me to help you list What not to do. Use short sentences. (e.g. “I’m anxious about the date. What should I not do?”, “This is my first date in years. What shouldn’t I say?”, “Can you tell me What else not to do?”)	Your friend is nervous about a first date. Help him list What not to do.
69	English	A2	1180	390	NEGATION	negation	negative imperatives	FORM: 'DO', IMPERATIVES	can form negative imperatives of main verbs with 'don't' + main verb. Clauses: imperatives	Don’t do…, don’t forget to…	Advising a friend about cooking with 'don't'	role play	a friend	You (the AI) are cooking a new recipe for the first time. Ask me to help you list What not to do in the kitchen. Use short sentences. (e.g. “I’m trying a new recipe. What should I not do in the kitchen?”, “This is my first time cooking. What don’t you think I should do?”, “I don’t want to burn it. Can you tell me What not to do?”)	Your friend needs kitchen safety advice. Help him list What not to do.
70	English	A2	1180	390	NEGATION	negation	negative imperatives	FORM: 'DO', IMPERATIVES	can form negative imperatives of main verbs with 'don't' + main verb. Clauses: imperatives	Don’t do…, don’t forget to…	Advising a friend about public transport with 'don't'	role play	a friend	You (the AI) will use public transport in my city for the first time. Ask me to help you list What not to do on buses and trains. Use short sentences. (e.g. “I’m worried about taking the bus. What should I not do?”, “This is also my first train ride. What don’t you think I should do?”)	Your friend wants advice on public transport. Help him list What not to do.
71	English	A2	1143	363	REPORTED SPEECH	reported speech	reported speech	FORM: REPORTED STATEMENTS WITH 'SAY', PRONOUN SHIFT	can report statements using a reporting clause with 'say' + 'that-'clause, with a pronoun shift where relevant.	He/she said that…, he/she didn't say that...	Giving information about an interview with 'said that'	problem solving	a friendly English tutor	I can see an interview that the mayor gave in the news. Your job is to ask short, direct questions about What the mayor said regarding the schools, public transportation and the new park. (e.g. “What did mayor say about public transportation?”, “Did he mention a new park opening soon?' What did he say about the schools?”)	You are reading the mayor's interview in the news. Let your friend know What the mayor said.
72	English	A2	1143	363	REPORTED SPEECH	reported speech	reported speech	FORM: REPORTED STATEMENTS WITH 'SAY', PRONOUN SHIFT	can report statements using a reporting clause with 'say' + 'that-'clause, with a pronoun shift where relevant.	He/she said that…, he/she didn't say that...	Giving information about a text message with 'said that'	problem solving	a friendly English tutor	I can see a text message from our friend. You cannot. Your job is to ask short, direct questions about What he said concerning his trip, his family and his birthday party. (e.g. “What did he say about his family?”, “Did he say he’ll celebrate his birthday in Madrid?', ' What did he say about his trip?”)	You are reading an email from our friend. Let your friend know What he said.
73	English	A2	1143	363	REPORTED SPEECH	reported speech	reported speech	FORM: REPORTED STATEMENTS WITH 'SAY', PRONOUN SHIFT	can report statements using a reporting clause with 'say' + 'that-'clause, with a pronoun shift where relevant.	He/she said that…, he/she didn't say that...	Giving information about an email with 'said that'	problem solving	a friendly English tutor	I can see an email from our teacher. You cannot. Your job is to ask short, direct questions about What she said concerning the homework, the next test and the summer break. (e.g. “Did she say the homework is due Friday?', 'What did she say about the next test?”, “Did she write that the summer break starts June 1?', 'What did she say about the homework?”)	You are reading an email from our teacher. Let your friend know What he said.
74	English	A2	1143	363	REPORTED SPEECH	reported speech	reported speech	FORM: REPORTED STATEMENTS WITH 'SAY', PRONOUN SHIFT	can report statements using a reporting clause with 'say' + 'that-'clause, with a pronoun shift where relevant.	He/she said that…, he/she didn't say that...	Reporting a doctor's message with 'said that'	problem solving	a friendly English tutor	I can see a text message from our doctor. You cannot. Your job is to ask short, direct questions about What the doctor said regarding the appointment, the medication and the test results. (e.g. “Did she say my appointment is on Monday?', 'What did she say about the medication?”, “Did she mention when the results will come?')	You are reading a text message from the doctor. Let your friend know What she said.
75	English	A2	1143	363	REPORTED SPEECH	reported speech	reported speech	FORM: REPORTED STATEMENTS WITH 'SAY', PRONOUN SHIFT	can report statements using a reporting clause with 'say' + 'that-'clause, with a pronoun shift where relevant.	He/she said that…, he/she didn't say that...	Reporting a boss's phone call with 'said that'	problem solving	a friendly English tutor	I can see notes from our boss’s phone call. You cannot. Your job is to ask short, direct questions about What the boss said regarding the project, the deadline and the meeting. (e.g. “Did she say the project needs a new design?, 'What did she say about the deadline?”, “Did she mention the meeting is rescheduled?')	You are reading notes from the boss. Let your friend know What he said.
